field_id,catalog_version,field_name,page_name,section_name_en,section_name_fr,section_order,panel_name,panel_suffix,point_type,mitigation_phase,answer_type,is_mandatory,visible_if,option_count,max_points,text_en,text_fr,guidance_en,guidance_fr
246,1.0.0,fairnessImplementation2,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Does the audit trail capture all the recommendations or decisions made by the system? ,Les recommandations ou les décisions du système sont-elles toutes consignées dans la piste de vérification? ,,
247,1.0.0,fairnessImplementation3,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Are all key decision points identifiable in the audit trail? ,Les principaux points de décision sont-ils tous clairement indiqués dans la piste de vérification? ,,
248,1.0.0,fairnessImplementation4,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Is there a process in place to log the instances when overrides were performed? ,"Un processus permettant la consignation des cas de dérogation a-t-il établi, ou le sera-t-il? ",,
249,1.0.0,fairnessImplementation5,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Is there an up-to-date log of the changes made to the model and the system? , Un registre actualisé des modifications apportées au modèle et au système a-t-il été mis en place?   ,,
250,1.0.0,fairnessImplementation7,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,1,Does the audit trail capture information that can be used to help generate an explanation of the decision where required? ,"L'information permettant d'expliquer au besoin, une décision est-elle consignée dans la piste de vérification? ",,
251,1.0.0,fairnessImplementation10,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Is the system able to produce reasons for its decisions or recommendations when required? ,"Le système permet-il d'obtenir, au besoin, des justifications concernant ses décisions ou ses recommandations?  ",,
252,1.0.0,fairnessImplementation8,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Does the audit trail identify precisely which version of the system was used for each decision it supports? ,La piste de vérification permet-elle de déterminer précisément la version du système qui a été utilisée pour chaque décision? ,,
253,1.0.0,fairnessImplementation9,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,1,Does the audit trail show who the authorized decision-maker is? ,La personne autorisée à prendre des décisions est-elle indiquée dans la piste de vérification? ,,
254,1.0.0,fairnessImplementation12,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Is there a mechanism to capture feedback by users of the system?,Un mécanisme permettant de recueillir les commentaires des utilisateurs du système a-t-il été prévu? ,,
255,1.0.0,fairnessImplementation12A,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{fairnessImplementation12} = ""item1-2""",0,0,Describe how user feedback informs updates to the system. ,"Si oui, veuillez décrire la façon dont la rétroaction sera prise en compte dans les mises à jour du système. ",,
256,1.0.0,fairnessImplementation12B,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{fairnessImplementation12} = ""item2-0""",0,0,Describe why user feedback is not captured. ,"Si non, veuillez expliquer pourquoi la rétroaction n'a pas été prise en compte. ",,
257,1.0.0,fairnessImplementation13,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Is there a recourse process established for clients to challenge the decision?,Un processus de recours a-t-il été prévu ou mis en place pour les personnes qui souhaitent contester la décision? ,,
258,1.0.0,fairnessImplementation13A,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{fairnessImplementation13} contains ""item1-2""",0,0,Provide information on the recourse process or link to a website where this is described.  ,Veuillez fournir des renseignements sur la procédure de recours ou un lien vers un site web où cette procédure est décrite. ,,
259,1.0.0,fairnessImplementation16,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Does the audit trail include change control processes to record modifications to the system's operation or performance? ,Des processus permettant le suivi des modifications apportées au fonctionnement ou au rendement du système ont-ils été intégrés à la piste de vérification? ,,
260,1.0.0,fairnessImplementation17,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,3,2,Does the system base its decision or recommendation on all of the information provided by the client? ,Le système tient-il compte de toute l'information fournie par la clientèle lors de la prise de décision ou de la formulation d'une recommandation? ,,
261,1.0.0,fairnessImplementation18,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Have you undertaken mitigations in algorithm development and model testing to address bias and discrimination? ,Des mesures d'atténuation ont-elles été prises lors de l'élaboration des algorithmes et des essais de modèles pour éliminer tout biais et élément discriminatoire? ,,
262,1.0.0,fairnessImplementation18A,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{fairnessImplementation18} = ""item1-2""",0,0,Describe the metrics used and any mitigations taken to address identified issues.,Veuillez décrire les paramètres et les mesures d'atténuation utilisés pour remédier aux problèmes constatés.,,
263,1.0.0,fairnessImplementation19,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Does the system only consider input data and information relevant to the decision?  ,Le système ne s'appuie-t-il que sur les données d'entrée et l'information se rapportant à la décision?  ,,
264,1.0.0,fairnessImplementation20,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Are the system rules directly relevant to the administrative decision? ,Les règles du système sont-elles directement liées aux décisions administratives?,,
265,1.0.0,fairnessImplementation21,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,checkbox,N,,5,5,Indicate additional procedural fairness protections in place (check all that apply): ,Veuillez indiquer toute autre mesure prise pour garantir l'équité procédurale (cochez toutes les réponses qui s'appliquent) : ,,
266,1.0.0,fairnessImplementation21A,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{fairnessImplementation21} contains ""item5-1""",0,0,Describe,Précisez,,
267,1.0.0,fairnessImplementation22,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Are there processes in place to ensure impartiality and ethical conduct by the decision-maker in the use of the system and its outputs? ,Des processus visant à garantir l'impartialité et l'éthique de la personne responsable de prendre les décisions quant à l'utilisation du système et à ses résultats ont-ils été mis en place? ,,
268,1.0.0,fairnessImplementation22A,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Have you undertaken training on appropriate use and awareness of risks associated with automation bias?,Avez-vous suivi une formation sur l'utilisation appropriée et la sensibilisation aux risques associés aux biais d'automatisation?  ,,
269,1.0.0,fairnessImplementation23,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Will your team be regularly retraining the model or reviewing the rules? ,Votre équipe procédera-t-elle régulièrement à la mise à jour du modèle ou à l'examen des règles? ,,
270,1.0.0,fairnessImplementation24,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Do you have monitoring processes in place to detect changes in system performance over time? ,Disposez-vous de processus de surveillance qui vous permettront de déceler les changements liés au rendement du système au fil du temps?,,
271,1.0.0,fairnessImplementation24A,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,"{fairnessImplementation24} = ""item1-2""",2,1,Do you have a process in place to update the system based on the monitoring results? ,Disposez-vous d'un processus de mise à jour du système fondé sur les résultats du processus de surveillance?,,
272,1.0.0,fairnessImplementation24AA,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{fairnessImplementation24} = ""item1-2"" and {fairnessImplementation24A} = ""item1-1"" ",0,0,Describe ,Veuillez expliquer votre réponse. ,,
273,1.0.0,fairnessImplementation24B,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{fairnessImplementation24} = ""item2-0""",0,0,Indicate why monitoring processes are not in place.,Indiquez pourquoi aucun processus de surveillance n'est en place.,,
274,1.0.0,privacyDesign1,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,privacyDesignPanel-MS,MS,mitigation,design,radiogroup,N,,2,2,"If your system uses or creates personal information, will you undertake a privacy impact assessment (PIA), or update an existing one prior to system launch?","Si votre système traite ou génère des renseignements personnels, avez-vous réalisé une évaluation des facteurs relatifs à la vie privée (EFVP) ou mis à jour une évaluation existante avant le lancement du système, ou avez-vous l'intention de le faire? ",,
275,1.0.0,privacyDesign5,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,privacyDesignPanel-MS,MS,mitigation,design,comment,N,"{privacyDesign1} = ""item1-2""",0,0,Indicate the following in your answer: Title and scope of the PIA; How the automation project fits into the program; and Date of PIA completion or modification. ,"Si oui, veuillez indiquer les éléments suivants dans votre réponse : le titre et la portée de l'EFVP; la manière dont le projet d'automatisation s'intègre au programme; la date d'achèvement ou de modification de l'EFVP.",,
276,1.0.0,privacyDesign6,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,privacyDesignPanel-MS,MS,mitigation,design,comment,N,"{privacyDesign1} = ""item2-0""",0,0,Have you undertaken other types of privacy assessments for your automation project?  Describe any relevant efforts.,"Si non, avez-vous réalisé d'autres types d'EFVP pour votre projet d'automatisation? Veuillez décrire toute mesure pertinente.  ",,
277,1.0.0,privacyDesign2,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,privacyDesignPanel-MS,MS,mitigation,design,radiogroup,N,,2,2,Will you design and build security into your systems from the concept stage of the project?,"Avez-vous conçu des mesures de sécurité et les avez-vous intégrées dans vos systèmes dès l'étape de la conception du projet, ou avez-vous l'intention de le faire?",,
278,1.0.0,privacyDesign2A,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,privacyDesignPanel-MS,MS,mitigation,design,comment,N,"{privacyDesign2} = ""item1-2""",0,0,Describe,Veuillez préciser.,,
279,1.0.0,privacyDesign9,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,privacyDesignPanel-MS,MS,mitigation,design,radiogroup,N,,2,2,Will you design and build privacy into your systems from the concept stage of the project?,"Avez-vous conçu des mesures de la protection des renseignements personnels et les avez-vous intégrées dans vos systèmes dès l'étape de la conception du projet, ou avez-vous l'intention de le faire?",,
280,1.0.0,privacyDesign9A,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,privacyDesignPanel-MS,MS,mitigation,design,comment,N,"{privacyDesign9} = ""item1-2""",0,0,Describe,Veuillez préciser.,,
281,1.0.0,privacyDesign3,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,privacyDesignPanel-MS,MS,mitigation,design,radiogroup,N,,2,1,"Will information be used within a closed system (no connections to the Internet, Intranet or any other system)?","L'information est-elle utilisée dans un système fermé (c'est-à-dire sans connexion à Internet, à l'intranet ou à tout autre système), ou le sera-t-elle?",,
282,1.0.0,privacyDesign4,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,privacyDesignPanel-MS,MS,mitigation,design,radiogroup,N,,2,1,"If the disclosing of personal information is involved, has an agreement or arrangement with appropriate safeguards been established?","Si la transmission de renseignements personnels est prévue, un accord ou un arrangement prévoyant des mesures de sécurité appropriées a-t-il été conclu?",,
283,1.0.0,privacyDesign7,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,privacyDesignPanel-MS,MS,mitigation,design,radiogroup,N,,2,1,Will you de-identify any personal information used or created by the system at any point in the lifecycle? ,Les renseignements personnels traités ou créés par le système seront-ils dépersonnalisés à toutes les étapes du cycle de vie?,,
284,1.0.0,privacyDesign8,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,privacyDesignPanel-MS,MS,mitigation,design,comment,N,"{privacyDesign7} = ""item1-1""",0,0,Describe your de-identification method(s).,Veuillez décrire les méthodes de dépersonnalisation que vous utiliserez.  ,,
285,1.0.0,privacyImplementation1,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,"If your system uses or creates personal information, have you undertaken a PIA, or updated an existing one? ","Si votre système traite ou génère des renseignements personnels, avez-vous réalisé une évaluation des facteurs relatifs à la vie privée (EFVP) ou mis à jour une évaluation existante avant le lancement du système?",,
286,1.0.0,privacyImplementation5,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{privacyImplementation1} = ""item1-2""",0,0,Indicate the following in your answer: Title and scope of the PIA; How the automation project fits into the program; and Date of PIA completion or modification.,"Si oui, veuillez indiquer les éléments suivants dans votre réponse : le titre et la portée de l'EFVP; la manière dont le projet d'automatisation s'intègre au programme; la date d'achèvement ou de modification de l'EFVP.",,
287,1.0.0,privacyImplementation6,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{privacyImplementation1} = ""item2-0""",0,0,Have you undertaken other types of privacy assessments for your automation project? Describe any relevant efforts. ,"Si non, avez-vous réalisé d'autres types d'EFVP pour votre projet d'automatisation? Veuillez décrire toute mesure pertinente.",,
288,1.0.0,privacyImplementation2,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Have you designed and built security into your systems from the concept stage of the project?,Avez-vous conçu des mesures de sécurité et les avez-vous intégrées dans vos systèmes dès l'étape de la conception du projet?,,
289,1.0.0,privacyImplementation2A,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{privacyImplementation2} = ""item1-2""",0,0,Describe,Veuillez préciser.,,
290,1.0.0,privacyImplementation9,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Have you designed and built privacy into your systems from the concept stage of the project?,Avez-vous conçu des mesures de la protection des renseignements personnels et les avez-vous intégrées dans vos systèmes dès l'étape de la conception du projet? ,,
291,1.0.0,privacyImplementation9A,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{privacyImplementation9} = ""item1-2""",0,0,Describe,Veuillez préciser.,,
292,1.0.0,privacyImplementation3,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,1,"Is the information used within a closed system (no connections to the Internet, Intranet or any other system)?","L'information est-elle utilisée dans un système fermé (c'est-à-dire sans connexion à Internet, à l'intranet ou à tout autre système)?",,
293,1.0.0,privacyImplementation4,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,1,"If the disclosing of personal information is involved, has an agreement or arrangement with appropriate safeguards been established?","Si la transmission de renseignements personnels est prévue, un accord ou un arrangement prévoyant des mesures de sécurité appropriées a-t-il été conclu? ",,
294,1.0.0,privacyImplementation7,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,1,Will you de-identify any personal information used or created by the system at any point in the lifecycle? ,Les renseignements personnels traités ou créés par le système seront-ils dépersonnalisés à toutes les étapes du cycle de vie? ,,
295,1.0.0,privacyImplementation8,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{privacyImplementation7} = ""item1-1""",0,0,Describe your de-identification method(s).,Veuillez décrire les méthodes de dépersonnalisation que vous utiliserez.,,
1,0.10.0,projectDetailsRespondent,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Name of Respondent,Nom de la personne sondée,The name of the respondent is the name of the person that answers the questions.,Le nom de la personne répondant aux questions.
2,0.10.0,projectDetailsJob,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Job Title,Titre du poste,,
3,0.10.0,projectDetailsDepartment-NS,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,dropdown,N,,101,0,Department,Ministère,,
4,0.10.0,projectDetailsBranch,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Branch,Direction,,
5,0.10.0,projectDetailsTitle,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Project Title,Titre du projet,,
6,0.10.0,projectDetailsID,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Project ID from IT Plan,Identifiant du projet provenant du Plan TI,,
7,0.10.0,projectDetailsProgram,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Departmental Program (from Department Results Framework),Programme ministériel (Cadre ministériel des résultats),,
8,0.10.0,projectDetailsPhase,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,radiogroup,Y,,2,0,Project Phase,Phase du projet,,
9,0.10.0,projectDetailsDescription,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,comment,N,,0,0,Please provide a project description:,Veuillez fournir une description du projet :,,
10,0.10.0,businessDrivers1,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,checkbox,N,,6,0,What is motivating your team to introduce automation into this decision-making process? (Check all that apply),Qu'est-ce qui motive votre équipe à introduire l'automatisation dans ce processus décisionnel? (Cochez toutes les réponses qui s'appliquent.),,
11,0.10.0,motivation-other,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,"{businessDrivers1} contains ""item6""",0,0,Please describe,S'il vous plait décrire,,
12,0.10.0,businessDrivers3,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,"What client needs will the system address and how will this system meet them? If possible, describe how client needs have been identified.","Quels sont les besoins des clients auxquels le système répondra et comment le système y répondra-t-il? Si possible, décrivez la façon dont les besoins des clients ont été déterminés.",,
13,0.10.0,businessDrivers4,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,Please describe any public benefits the system is expected to have.,Veuillez décrire tous les bienfaits d’intérêt public que le système devrait avoir.,,
14,0.10.0,businessDrivers5,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,dropdown,N,,3,2,How effective will the system likely be in meeting client needs?,Dans quelle mesure le système sera-t-il efficace pour répondre aux besoins des clients?,,
15,0.10.0,businessDrivers6,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,"Please describe any improvements, benefits, or advantages you expect from using an automated system. This could include relevant program indicators and performance targets.","Veuillez décrire les améliorations, les bienfaits ou les avantages que vous attendez de l’utilisation d’un système automatisé. Cela pourrait inclure des indicateurs de programme et des objectifs de rendement pertinents.",,
16,0.10.0,businessDrivers7,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,Please describe how you will ensure that the system is confined to addressing the client needs identified above.,Veuillez décrire la façon dont vous allez vous assurer que le système se limite à répondre aux besoins des clients mentionnés ci-dessus.,,
17,0.10.0,businessDrivers8,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,Please describe any trade-offs between client interests and program objectives that you have considered during the design of the project.,Veuillez décrire toutes les concessions mutuelles entre les intérêts des clients et les objectifs du programme que vous avez pris en considération lors de l’élaboration du projet.,,
18,0.10.0,businessDrivers9,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,radiogroup,N,,2,1,Have alternative non-automated processes been considered?,D’autres options de processus non automatisés ont-elles été envisagées?,,
19,0.10.0,businessDrivers10,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,"{businessDrivers9} contains ""item1-0""",0,0,"If non-automated processes were considered, why was automation identified as the preferred option?","Si des processus non automatisés ont été envisagés, pourquoi l’automatisation a-t-elle été l’option choisie?",,
20,0.10.0,businessDrivers11,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,checkbox,N,,6,5,What would be the consequence of not deploying the system?,Quelle serait la conséquence du non-déploiement du système?,,
21,0.10.0,businessDrivers12,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,"{businessDrivers11} contains ""item6-0""",0,0,Please describe,S'il vous plait décrire,,
22,0.10.0,riskProfile1,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,radiogroup,N,,2,3,Is the project within an area of intense public scrutiny (e.g. because of privacy concerns) and/or frequent litigation?,Le projet fait-il l'objet d'un examen public approfondi (e.g.: en raison de préoccupations liées à la protection de la vie privée) et/ou de litiges fréquents?,,
23,0.10.0,riskProfile2,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,radiogroup,N,,2,3,Are clients in this line of business particularly vulnerable?,Les clients de ce secteur d'activité sont-ils particulièrement vulnérables?,,
24,0.10.0,riskProfile3,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,radiogroup,N,,2,4,Are stakes of the decisions very high?,Les enjeux des décisions de ce programme sont-ils très élevés? ,,
25,0.10.0,riskProfile4,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,radiogroup,N,,2,3,"Will this project have major impacts on staff, either in terms of their numbers or their roles?","Ce projet aura-t-il d'importantes répercussions sur le personnel, que ce soit en termes de nombre ou de rôle?",,
26,0.10.0,riskProfile5,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,radiogroup,N,,2,4,Will the use of the system create or exacerbate barriers for persons with disabilities?,L’utilisation du système entraînera-t-elle des difficultés pour les personnes en situation de handicap ou les accentuera-t-elle?,,
27,0.10.0,riskProfile6,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,comment,N,"{riskProfile5} = ""item1-4""",0,0,"If yes, please describe the barriers and any planned or existing measures to identify, remove, and/or prevent them.","Si oui, veuillez décrire les difficultés et toute mesure prévue ou existante pour les identifier, les éliminer ou les éviter.",,
28,0.10.0,projectAuthority1,projectAuthority,Project Authority,Autorité de projet,5,projectAuthorityPanel-RS,RS,raw,,radiogroup,N,,2,2,Will you require new policy authority for this project?,Aurez-vous besoin d'une nouvelle autorisation en termes de politiques pour ce projet ?,,
29,0.10.0,aboutSystem1,aboutSystem,About The System,À propos du système,6,aboutSystemPanel-NS,NS,none,,checkbox,N,,6,0,Please check which of the following capabilities apply to your system.,Veuillez indiquer laquelle des capacités suivantes s'applique à votre système.,,
30,0.10.0,aboutSystem2,aboutSystem,About The System,À propos du système,6,aboutSystemPanel-NS,NS,none,,comment,N,"{aboutSystem1} contains [""item6""]",0,0,Please describe,S'il vous plait décrire,,
31,0.10.0,aboutAlgorithm1,aboutAlgorithm,About the Algorithm,À propos de l'algorithme,7,aboutAlgorithmPanel-RS,RS,raw,,radiogroup,N,,2,3,The algorithm used will be a (trade) secret,L'algorithme utilisé sera un secret (commercial),,
32,0.10.0,aboutAlgorithm2,aboutAlgorithm,About the Algorithm,À propos de l'algorithme,7,aboutAlgorithmPanel-RS,RS,raw,,radiogroup,N,,2,3,The algorithmic process will be difficult to interpret or to explain,Le processus algorithmique sera difficile à interpréter ou à expliquer,,
33,0.10.0,decisionSector3,decisionSector,About the Decision,À propos de la décision,8,decisionSectorPanel-RS,RS,raw,,comment,N,,0,0,Please describe the decision(s) that will be automated.,Veuillez décrire la ou les décisions qui seront automatisées.,,
34,0.10.0,decisionSector1,decisionSector,About the Decision,À propos de la décision,8,decisionSectorPanel-RS,RS,raw,,checkbox,N,,7,7,Does the decision pertain to any of the categories below (check all that apply):,La décision s'applique-t-elle à l'une ou l'autre des catégories ci-dessous (*Cochez toutes les réponses qui s'appliquent) :,,
35,0.10.0,decisionSector2,decisionSector,About the Decision,À propos de la décision,8,decisionSectorPanel-RS,RS,raw,,comment,N,"{decisionSector1} contains [""item6-1""]",0,0,Please describe,S'il vous plait décrire,,
36,0.10.0,impact30,impact,Impact Assessment,Évaluation de l'incidence,9,impactPanel-RS,RS,raw,,radiogroup,N,,2,4,Which of the following best describes the type of automation you are planning? ,"Parmi les propositions suivantes, laquelle décrit le mieux le type d’automatisation que vous envisagez? ",,
37,0.10.0,impact31,impact,Impact Assessment,Évaluation de l'incidence,9,impactPanel-RS,RS,raw,,comment,N,,0,0,Please describe the role of the system in the decision-making process.,Veuillez décrire le rôle du système dans le processus de prise de décisions.,,
38,0.10.0,impact3,impact,Impact Assessment,Évaluation de l'incidence,9,impactPanel-RS,RS,raw,,radiogroup,N,,2,4,Will the system be making decisions or assessments that require judgement or discretion?,Le système prendra-t-il des décisions ou effectuera-t-il des évaluations qui exigent du jugement ou de la discrétion?,,
